atr_mult,vol_mult,short_dur,num_trades,win_rate,avg_profit,max_loss,total_return,sharpe,score
4.0,2.0,1,2,50.0,1.3031456311358616,-0.9265113893156462,2.606291262271723,0.41327572097308213,20.663786048654107
4.0,3.0,1,2,50.0,1.3031456311358616,-0.9265113893156462,2.606291262271723,0.41327572097308213,20.663786048654107
4.0,2.0,3,2,50.0,0.63113267297978,-1.6865562877282432,1.26226534595956,0.19255309942713886,9.627654971356943
4.0,3.0,3,2,50.0,0.63113267297978,-1.6865562877282432,1.26226534595956,0.19255309942713886,9.627654971356943
3.0,3.0,1,3,25.0,0.1805757028200859,-0.9419942254956898,1.6642970367760332,0.20663786048654106,5.165946512163527
3.0,2.0,3,4,50.0,-0.09997933546957875,-1.6865562877282432,0.3311946665710437,0.06418436647571295,3.2092183237856475
3.0,3.0,3,3,25.0,-0.2288325079690235,-1.6865562877282432,0.17346765704173306,0.09627654971356943,2.4069137428392358
3.0,2.0,1,4,16.666666666666668,-0.20899160897796767,-0.9881262325740748,0.6761708042019585,0.13775857365769403,2.295976227628234
5.0,2.0,1,1,100.0,3.5328026515873696,3.5328026515873696,3.5328026515873696,0.0,0.0
5.0,2.0,3,1,100.0,2.9488216336878033,2.9488216336878033,2.9488216336878033,0.0,0.0
5.0,3.0,3,1,100.0,2.9488216336878033,2.9488216336878033,2.9488216336878033,0.0,0.0
5.0,3.0,1,1,100.0,3.5328026515873696,3.5328026515873696,3.5328026515873696,0.0,0.0
5.0,3.0,6,1,100.0,0.2663200989958331,0.2663200989958331,0.2663200989958331,0.0,0.0
5.0,2.0,6,1,100.0,0.2663200989958331,0.2663200989958331,0.2663200989958331,0.0,0.0
3.0,3.0,6,3,25.0,-1.0248280905418734,-2.1922145477796113,-3.012603405475636,-0.2769562402487716,-6.92390600621929
3.0,2.0,6,4,50.0,-0.38631791198941473,-2.1922145477796113,-2.1219009603601333,-0.18463749349918104,-9.231874674959052
4.0,2.0,6,2,50.0,-0.9629472243918891,-2.1922145477796113,-1.9258944487837781,-0.5539124804975432,-27.69562402487716
4.0,3.0,6,2,50.0,-0.9629472243918891,-2.1922145477796113,-1.9258944487837781,-0.5539124804975432,-27.69562402487716
